F { 1: ("", (1,1), (1,2), (1,3)), 2: ("", (1,4), (2,4), (3,4)), 3: ("", (1,5), (1,6)), 4: ("", (2,1),(2,2)), 5: ("", (2,3), (3,3)), 6: ("", (2,5),(3,5)), 7: ("",(2,6),(3,6),(4,6)), 8: ("", (3,1),(3,2),(4,1)), 9: ("", (4,2),(5,2),(5,3)), 10: ("", (4,3),(4,4),(5,4)), 11:("",(4,5), (5,5)), 12: ("", (5,1), (6,1)), 13: ("", (5,6), (6,6)), 14: ("", (6,2),(6,3)), 15: ("", (6,4), (6,5)) }

F3 { 1: ("6x", (1,1), (2,1), (3,1)), 2: ("5+", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
F3 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("7+", (2,2), (3,2), (3,3)) }
F3 { 1: ("18x", (1,1), (2,1), (2,2)), 2: ("1-", (1,2), (1,3)), 3: ("3x", (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I3 { 1: ("5x", (1,1), (2,1), (2,2)), 2: ("3x", (1,2), (1,3)), 3: ("1-", (2,3), (3,3)), 4: ("3x", (3,1), (3,2)) }
I3 { 1: ("3x", (1,1), (2,1)), 2: ("1-", (1,2), (1,3)), 3: ("4+", (2,2), (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I3 { 1: ("6+", (1,1), (2,1), (3,1)), 2: ("9x", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
D3 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("12x", (2,2), (3,2), (3,3)) }
D3 { 1: ("8+", (1,1), (1,2), (2,2)), 2: ("1-", (1,3), (2,3)), 3: ("1-", (2,1), (3,1)), 4: ("1-", (3,2), (3,3)) }
D3 { 1: ("3+", (1,1), (2,1)), 2: ("1-", (1,2), (1,3)), 3: ("7+", (2,2), (3,1), (3,2)), 4: ("1-", (2,3), (3,3)) }

F4 { 1: ("6x", (1,1), (2,1), (3,1)), 2: ("5+", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
F4 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("7+", (2,2), (3,2), (3,3)) }
F4 { 1: ("18x", (1,1), (2,1), (2,2)), 2: ("1-", (1,2), (1,3)), 3: ("3x", (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I4 { 1: ("5x", (1,1), (2,1), (2,2)), 2: ("3x", (1,2), (1,3)), 3: ("1-", (2,3), (3,3)), 4: ("3x", (3,1), (3,2)) }
I4 { 1: ("3x", (1,1), (2,1)), 2: ("1-", (1,2), (1,3)), 3: ("4+", (2,2), (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I4 { 1: ("6+", (1,1), (2,1), (3,1)), 2: ("9x", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
D4 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("12x", (2,2), (3,2), (3,3)) }
D4 { 1: ("3+", (1,1), (2,1)), 2: ("1-", (1,2), (1,3)), 3: ("7+", (2,2), (3,1), (3,2)), 4: ("1-", (2,3), (3,3)) }
D4 { 1: ("7+", (1,1), (2,1)), 2: ("3-", (1,2), (2,2)), 3: ("2x", (1,3), (1,4)), 4: ("7+", (2,3),(3,3), (3,4)), 5: ("3+", (2,4)), 6: ("6+", (3,1),(3,2), (4,1)), 7: ("9+", (4,2), (4,3), (4,4)) }

F5 { 1: ("6x", (1,1), (2,1), (3,1)), 2: ("5+", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
F5 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("7+", (2,2), (3,2), (3,3)) }
F5 { 1: ("18x", (1,1), (2,1), (2,2)), 2: ("1-", (1,2), (1,3)), 3: ("3x", (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I5 { 1: ("5x", (1,1), (2,1), (2,2)), 2: ("3x", (1,2), (1,3)), 3: ("1-", (2,3), (3,3)), 4: ("3x", (3,1), (3,2)) }
I5 { 1: ("3x", (1,1), (2,1)), 2: ("1-", (1,2), (1,3)), 3: ("4+", (2,2), (2,3), (3,3)), 4: ("1-", (3,1), (3,2)) }
I5 { 1: ("6+", (1,1), (2,1), (3,1)), 2: ("9x", (1,2), (1,3), (2,3)), 3: ("12x", (2,2), (3,2), (3,3)) }
D5 { 1: ("1-", (1,1), (1,2)), 2: ("3x", (1,3), (2,3)), 3: ("3x", (2,1), (3,1)), 4: ("12x", (2,2), (3,2), (3,3)) }
